contr_id;count_id;contr_date;summ;subject
1;184;2022-04-01;16897850;Консультационное обслуживание об использовании программного обеспечения и создании электронного завления на сертификат, экспертиза документов для участия в электронных конкурсных торгах
2;14;2022-04-02;12763657;"Абонентское обслуживание типовых конфигураций 1С:Предприятие Пакет ""Техно"" за январь 2014г."
3;411;2022-04-03;11603613;Предоставление доступа для пользователей к электронной системе  информационной поддержки конкурсных закупок по Договору №70/2014 от 14.01.2014г по пункту 6.1
4;255;2022-04-04;3483341;Транспортные услуги по маршруту г.Санкт-Петербург - г.Екатеринбург
5;8;2022-04-05;21443566;Аванс по доп.соглашению №1 к договору 46.1.3130 от 28.02.2012 (Реконструкция открытого склада литер №25 с эстакадами топливоподачи литеры №26, №27)
6;326;2022-04-06;16704064;Доработка шкафов управления ШУ2А, ШУ2Б, ШУ3А, ШУ3Б, ШУ4А, ШУ4Б по решению тех.совета (протокол №8 от 03.10.2012)
7;118;2022-01-02;20481116;Автотранспортные услуги с 27.09.2012 по 04.10.2012 Кран автомобильный МКТБ 30,2 Н 018 РМ 86
8;362;2022-05-03;9168849;Ремонт кровли главного корпуса по договору №221-13/0063 от 29.11.2013
9;376;2022-04-04;20471110;"Аванс по договору №40/101/81/02-13 от 08.05.2013 Выполнение строительно-монтажных работ по объектам энергоблока №3 Ростовской АЭС: ""Башенная испарительная градирня"""
10;153;2022-04-08;16772095;"Абонентское обслуживание в Системе, расположенной на сервере ""b2b-center"" за 4 кв. 2013г"
11;20;2022-04-01;17548128;Транспортные услуги по маршруту г.Тобольск - г.Санкт-Петербург
12;21;2022-04-02;17080593;Аренда платформы рабочей ZLP-630
13;30;2022-04-03;9166940;Аренда компрессора Atlas copco has 186 по дог. №0102 от 25.04.16
14;202;2022-04-04;23613226;Выполнение работ по антикоррозионной защите металлоконструкций автомоб моста ЗСД на секции 3 очередь 4 по дог18 от 15.08.16
15;118;2022-04-05;9798664;Изготовление траверсы подвесных лесов по акту №1  от 13.05.16 по сч№129 от 13.05.16
16;233;2022-04-06;19378395;"Организация и проведение экспертизы документов, обосновывающих заявленную деятельность ООО ""Северное РСО"" по эксплуатации ядерных установок по дог.№15-018 от 15.06.15"
17;61;2022-01-02;1528790;Аренда ДГУ FI45 с 16.01.18 по 31.01.18
18;128;2022-05-03;3112224;Работы на объектах энергоблока №4 Ростовской АЭС. Энергоблок №4. Башенная испарительная градирня. Опорные балки под оросители.
19;232;2022-04-04;9227480;Комплекс строительно-монтажных работ по  Объекту энергоблок №4 Ростовской АЭС: Башенная испарительная градирня. Наружные лестницы, площадки иограждения.  Дог.№21/07-18СМР от 13.07.2018.
20;263;2022-04-08;1032016;Услуги по мытью окон  Санкт-Петербургского государственного казенного учреждения «Жилищное агентство Калининского района Санкт-Петербурга» в соответствии с Государственным Контрактом №31/2018 от 23/07/2018 года
21;210;2022-04-01;22149102;Комплекс работ на Объектах энергоблока №4 Ростовской АЭС: Башенная испарительная градирня. Водораспределительная система , оросители, каплеуловитель, зимний трубопровод, затворы, перегородки и дефлекторы
22;285;2022-04-02;20220107;Визуально-измерительный контроль качества лакокрасочного покрытия. Дог№Д.50/86-2/17-62 от 07.08.17
23;282;2022-04-03;14091438;Работы на объекте: Энергоблок №3 Ростовской АЭС: Башенная испарительная градирня №1. Строительная часть: Узлы восстановления уплотнения водораспределительного трубопровода по дог.№ 40/50/86/133-16 суб Северное РСО от 11.07.2018
24;47;2022-04-04;10408912;Право на использование Kaspersky Endpoint Security для бизнеса
25;57;2022-04-05;11995216;Устранение дефектов окраски бетонных поверхностей опор IVc1-IVc7 очереди строительства ЗСД по договору №WHSD-DR-SC-1062 ДС3 от 20.09.2017
26;130;2022-04-06;1898073;"Лицензия на право использование программы ""Контур-Фокус"""
27;213;2022-01-02;16660538;"Обучение по программе""Рабочий люльки"""
28;113;2022-05-03;18597933;Техническое перевооружение мазутного резервуара РВС-20000 ст.№1 по договору №СевРСО/МБ-2017/04/12 от 04/12/2017.
29;182;2022-04-04;6469425;Работы по техническому перевооружению мазутного резервуара РВС-20000 ст.№1 по договору №СевРСО/МБ-2017/04/12 от 04/12/2017.
30;269;2022-04-08;5539138;"Ремонт 4х туалетов в бизнес центре ""Красная Заря"" по адресу Санкт-Петербург, ул.Гельсингфорсская, д.4, корп.1, лит.""В"" по дог.№07/45-2010 от 25.08.2010"
31;261;2022-04-01;6201163;Оказание услуги: Возвратная транспортировка подъемник  самоходный ножничный HAULOTTE H15SX
32;397;2022-04-02;4240461;Полный ремонт (устранение неисправностей, вкл. чистку, смазку, диагностику, замену деталей) Нагреватель Passat 45 AP
33;259;2022-04-03;23830632;Аванс по ДС №1 от 03.11.2016 к дог.№WHSD-DR-SC-1067 от 16.05.2016 (Комплекс дополнительных работ по монтажу труб для кабельной канализации на Секции 4, опоры 9-1, 9-2 в рамках IV очереди строительства ЗСД)
34;316;2022-04-04;24351638;Аванс за услуги по аренде оборудования по договору 14/09-2016 от 30.09.2016
35;323;2022-04-05;14533011;Организация работ по инспекционному контролю ГОСТ ISO 9001-2011
36;262;2022-04-06;13565399;Услуги по аренде автокрана 10тн.
37;47;2022-01-02;10481512;Погрузка, вывоз блок-контейнера (бытовка)
38;182;2022-05-03;3427975;Работы по ДС№2 от 10.08.16 к дог.№WHSD-DR-SC-1062 от 18.05.2016 за работы по ремонту несъемной опалубки плиты проезжей части сталежелезобетонных пролетных строений на опорах IV-17 - IV-23, верхняя палуба на секции 3 IV очереди
39;20;2022-04-04;8155768;Услуги по предоставлению дизель-компрессора Atlas Copco 186 (шасси)
40;279;2022-04-08;3974009;Услуги по предоставлению дизель-компрессора Atlas Copco 186 (шасси)
41;389;2022-04-01;6916601;Удержание гарантийной суммы (5% от суммы акта)
42;31;2022-04-02;20410137;Работы по ДС №2 от 17.10.2016 к дог.№WHSD-DR-SC-1101 от 10.06.2016 (работы по подготовке бетонных поверхностей и окраске оголовков опор IV-12-IV-13 на Секции 2 IV очереди строительства ЗСД)
43;421;2022-04-03;22942435;Участие в электронной процедуре (Запрос предложений)
