title;inn;address;supervisor;phone
"Общество с ограниченной ответственностью ""КУПОЛ""";7840065006;105037, Г.Москва, вн.тер. г. Муниципальный Округ Измайлово, ул Первомайская, дом 18, помещение 1/1, комната 12;Константин Егоров;79011112233
"ООО ""КОНКУРЕНТНЫЕ ЗАКУПКИ""";9705008037;105037, Г.Москва, вн.тер. г. Муниципальный Округ Измайлово, ул Первомайская, дом 18, помещение 1/1, комната 12;Дмитрий Лапин;79011112245
"ООО ""АСТ ГОЗ""";7728312865;105037, Г.Москва, вн.тер. г. Муниципальный Округ Измайлово, ул Первомайская, дом 18, помещение 1/1, комната 12;Джурмат Арноби;79011112257
"ООО ""Тильда Паблишинг""";7722391042;105066, Москва г, Спартаковская ул, дом № 2А, строение 2;Филипп Тревор;79011112269
"ООО ""АРГОН""";7810354635;105066, Москва г, Спартаковская ул, дом № 2А, строение 2;Константин Егоров;79011112281
"ООО ""АТРИУМСТРОЙ""";7802521138;105187, Москва г, Кирпичная ул, дом № 32, корпус 24;Дмитрий Лапин;79011112293
"ООО ""СТРОЙПЕРСПЕКТИВА""";7810836244;107140, Москва г, Краснопрудная ул, дом № 26;Джурмат Арноби;79011112305
"ООО ""СК ПЕТРОСОЮЗ""";7841018930;109263, Москва г., Шкулева ул, д.15/18, кор.1;Константин Егоров;79011112317
"ООО ""СТРОЙТЕХМОНТАЖ""";3528247160;109428, Москва г, Рязанский пр-кт, дом № 24, корпус 2;Дмитрий Лапин;79011112329
"ООО ""Весна""";5614068440;109451, Москва г, Братиславская ул, дом № 16, корпус 1, квартира Пом.3;Джурмат Арноби;79011112341
"ООО  ""СТРОЙСТИЛЬ""";1840021618;109451, Москва г, Братиславская ул, дом № 16, корпус 1, квартира Пом.3;Филипп Тревор;79011112353
"СПБООИ ""СОЮЗСПОРТТЕАТР""";7825119458;109469, Москва г, Братиславская ул, дом № 29, корпус 1;Константин Егоров;79011112365
"ОАО ""Мостострой №6""";7812046562;111024, Москва г, Авиамоторная ул, дом № 50, строение 2, офис 342;Дмитрий Лапин;79011112377
"ООО ""СПИК ИНТЕРНАЦИОНАЛЕ С.Р.Л."" ";9909421570;111024, Москва г, Авиамоторная ул, дом № 50, строение 2, офис 342;Джурмат Арноби;79011112389
"ООО ""СМУ N 1""";5260234539;111024, Москва г, Авиамоторная ул, дом № 50, строение 2, офис 342;Константин Егоров;79011112401
"ООО ""СтройТехСистема""";3435114143;111024, Москва г, Андроновское ш, дом № 26, строение 17, оф.11;Дмитрий Лапин;79011112413
"Комитет финансов г.Санкт-Петербург (ГБУДО ДДТ ""Фонтанка-32"")";7825426794;115114, Москва г, Кожевническая ул, дом 14, строение 5;Филипп Тревор;79011112437
"Общество с ограниченной ответственностью ""Корпорация Акционерной Компании ""Электросевкавмонтаж""";2312065504;115114, Москва г, Кожевническая ул, дом 14, строение 5;Константин Егоров;79011112449
"Общество с ограниченной ответственностью ""СДК""";7813270180;115280, Москва г, Велозаводская ул, дом № 9;Дмитрий Лапин;79011112461
Филиал АО «Концерн Росэнергоатом» «Нововоронежская атомная станция»;7721632827;115280, Москва г, Велозаводская ул, дом № 9;Джурмат Арноби;79011112473
"ПАО ""ФСК ЕЭС""";4716016979;115409, Москва г, Каширское ш, дом 58, корпус 3;Константин Егоров;79011112485
"Общество с ограниченной ответственностью ""ЮСКОМ""";6118008728;115409, Москва г, Каширское ш, дом 58, корпус 3;Дмитрий Лапин;79011112497
"Акционерное общество ""Интер РАО - Электрогенерация""";7704784450;115409, Москва г, Каширское ш, дом 58, корпус 3;Джурмат Арноби;79011112509
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОНЦЕРН ТИТАН-2""";7827004484;115419, Москва г, Рощинский 2-й проезд, дом № 8, корпус 4;Филипп Тревор;79011112521
"ООО ""ТЭСЛА СПБ""";7811737278;115419, Москва г, Рощинский 2-й проезд, дом № 8, корпус 4;Константин Егоров;79011112533
"ООО ""Северное РСО""";7810538939;117186, Москва г, Нагорная ул, дом № 15, корпус 8;Джурмат Арноби;79011112557
"ООО ""Госзаказ.ру""";5404481676;117186, Москва г, Нагорная ул, дом № 15, корпус 8;Константин Егоров;79011112569
"ООО ""Антарес""";7810590512;117535, Москва г, Дорожная ул, дом № 34, корпус 2, квартира 4;Дмитрий Лапин;79011112581
"ООО ""РМТ ""Стройконтакт""";7826039822;117545, Москва г, Дорожный 1-й проезд, дом № 6, строение 6;Джурмат Арноби;79011112593
"ООО ""ОПМ-СПБ""";7802846947;117545, Москва г, Дорожный 1-й проезд, дом № 6, строение 6;Филипп Тревор;79011112605
"ООО ""ИНТЕРКОНЦЕРН""";7826172750;117997, Москва г, Вавилова ул, дом № 19;Константин Егоров;79011112617
"ООО ""ТЕХНИКА СЕВЕРО-ЗАПАД""";7816546911;119017, Москва г, Погорельский пер, дом 7, строение 2;Дмитрий Лапин;79011112629
"ООО ""ГРАНД-СТЭЙЛ""";7726751289;119017, Москва г, Погорельский пер, дом 7, строение 2;Джурмат Арноби;79011112641
"ООО ""ЮЛМАРТ РСК""";7814522256;119435, Москва г, Пироговская Б. ул, дом № 27, корпус 2;Константин Егоров;79011112653
"ООО ""ОнЛайн Трейд""";7735092378;119435, Москва г, Погодинская ул, дом № 20/3, строение 1;Дмитрий Лапин;79011112665
"ООО ""КОМПАНИЯ КЕРОМАГ""";7841501470;119435, Москва г, Саввинский Б. пер, дом № 2-4-6, корпус 10;Джурмат Арноби;79011112677
"ООО ""АММ""";7814164339;123022, Москва г, Красная Пресня ул, дом № 24;Филипп Тревор;79011112689
"ООО ""БАЗА СНАБЖЕНИЯ СДА""";5190040287;123022, Москва г, Красная Пресня ул, дом № 24;Константин Егоров;79011112701
"ООО ""Промэлектросвет""";5190306025;123112, Москва г, наб. Пресненская, дом 10, помещение I, этаж 41, комната 6;Дмитрий Лапин;79011112713
"ГУП ""Водоканал Санкт-Петербурга""";7830000426;123112, Москва г, наб. Пресненская, дом 10, помещение I, этаж 41, комната 6;Джурмат Арноби;79011112725
"ООО ""СЕВЕРНЫЙ ПОТОК""";7810451445;123112, Москва г, наб. Пресненская, дом 10, помещение I, этаж 41, комната 6;Константин Егоров;79011112737
"ООО ""Строй-Эксперт Консалт""";7816543847;123610, Россия, Москва г, Краснопресненская наб, дом № 12, подъезд 7;Дмитрий Лапин;79011112749
"ООО ""ЭДЕН СПРИНГС""";7718151150;125080, Москва г, Волоколамское ш, дом № 1, строение 1, помещение 1, комната 88;Джурмат Арноби;79011112761
"ООО ""Стройсервис""";7806413817;125080, Москва г, Волоколамское ш, дом № 1, строение 1, помещение 1, комната 88;Филипп Тревор;79011112773
"ООО ""К2""";7801637965;125190, Москва г, Ленинградский пр-кт, дом № 80, корпус 17;Константин Егоров;79011112785
"ООО ""Международный Центр Сертификации""";7839023971;125190, Москва г, Ленинградский пр-кт, дом № 80, корпус 17;Дмитрий Лапин;79011112797
"ЗАО ""Спецстройизоляция""";7826675419;127247, Москва г, Дмитровское ш, дом № 90, корпус 1, помещение XXIII, комн.1;Джурмат Арноби;79011112809
"ЧОУ ""Учебный центр ""ПЕРСПЕКТИВА""";7801350296;127247, Москва г, Дмитровское ш, дом № 90, корпус 1, помещение XXIII, комн.1;Константин Егоров;79011112821
"ООО ""ПрофМастер""";7814568927;140415, Московская обл, Коломна г, Канатный пр, дом № 2;Дмитрий Лапин;79011112833
