contr_id;paym_date;summ;rem
1;2023-01-05;120374,83;аванс
1;2023-01-06;112569,88;по факту
1;2023-01-07;63981,41;по факту
1;2023-02-07;143313,16;по факту
1;2023-03-07;56174,13;аванс
1;2023-01-08;52676,36;аванс
1;2023-01-09;92969,47;по факту
1;2023-01-10;126526,64;по факту
1;2023-02-08;48498,48;по факту
2;2023-01-05;78924,02;аванс
2;2023-01-06;22018,03;аванс
2;2023-01-07;68810,11;по факту
2;2023-02-07;42641,57;по факту
2;2023-03-07;113907,28;по факту
2;2023-01-08;53589,75;аванс
2;2023-01-09;89247,13;аванс
2;2023-01-10;66759,5;по факту
2;2023-02-08;111711,74;по факту
2;2023-02-09;85344,14;по факту
3;2023-01-05;54447,22;аванс
3;2023-01-06;148322,98;аванс
3;2023-01-07;89051,84;по факту
3;2023-02-07;109381,17;по факту
3;2023-03-07;113782,76;по факту
3;2023-01-08;39344,96;аванс
3;2023-01-09;146003,47;аванс
3;2023-01-10;32852,79;по факту
3;2023-02-08;142876,78;по факту
3;2023-01-05;711,36;по факту
4;2023-01-06;90071,2;аванс
4;2023-01-07;47627,93;аванс
4;2023-02-07;149561,92;по факту
4;2023-03-07;65503,62;по факту
4;2023-01-08;149778,33;по факту
4;2023-01-09;97419,94;аванс
4;2023-01-10;10378,13;аванс
4;2023-02-08;70701,88;по факту
4;2023-02-09;40204,26;по факту
4;2023-02-09;9747,01;по факту
5;2023-01-06;147446,83;аванс
5;2023-01-07;133733,42;аванс
5;2023-02-07;92455,12;по факту
5;2023-03-07;52915;по факту
5;2023-01-08;33925,09;по факту
5;2023-01-09;4375,86;аванс
5;2023-01-10;32357,76;аванс
5;2023-02-08;55687,39;по факту
5;2023-02-09;71263,36;по факту
5;2023-02-09;14647,6;по факту
6;2023-01-06;140360,97;аванс
6;2023-01-07;28743,89;аванс
6;2023-02-07;83942,54;по факту
6;2023-03-07;134201,37;по факту
6;2023-01-08;62654,92;по факту
6;2023-01-09;73125,64;аванс
6;2023-01-10;95228,77;аванс
6;2023-02-08;5616,89;по факту
6;2023-02-09;119129,27;по факту
6;2023-02-09;129128,96;по факту
7;2023-01-06;149275,4;аванс
7;2023-01-07;3348,91;аванс
7;2023-02-07;54218,48;по факту
7;2023-03-07;112454,7;по факту
7;2023-01-08;33159,72;по факту
7;2023-01-09;135354,87;аванс
7;2023-01-10;99089,26;аванс
7;2023-02-08;130179,11;по факту
7;2023-02-09;94332,61;по факту
7;2023-02-09;66007,14;по факту
8;2023-01-06;8951,36;аванс
8;2023-01-07;24491,37;аванс
8;2023-02-07;121536,71;по факту
8;2023-03-07;16407,97;по факту
8;2023-01-08;47075,36;по факту
8;2023-01-09;36295,32;аванс
8;2023-01-10;19641,54;аванс
8;2023-02-08;19622,75;по факту
8;2023-02-09;144843,88;по факту
8;2023-02-09;132180,01;по факту
9;2023-01-06;107476,74;аванс
9;2023-01-07;94826,31;аванс
9;2023-02-07;45031,44;по факту
9;2023-03-07;143054,79;по факту
9;2023-01-08;129156,09;по факту
9;2023-01-09;36391,68;аванс
9;2023-01-10;48938,13;аванс
9;2023-02-08;148242,04;по факту
9;2023-02-09;37883,17;по факту
9;2023-02-09;109539,22;по факту
10;2023-01-06;51234,9;аванс
10;2023-01-07;77377,27;аванс
10;2023-02-07;142355,87;по факту
10;2023-03-07;36788,27;по факту
10;2023-01-08;138534,45;по факту
10;2023-01-09;79810,46;аванс
10;2023-01-10;24740,83;аванс
10;2023-02-08;114981,42;по факту
10;2023-02-09;12194,95;по факту
10;2023-02-09;69722,4;по факту
11;2023-01-06;74081,6;аванс
11;2023-01-07;70474,76;аванс
11;2023-02-07;139227,51;по факту
11;2023-03-07;62162,08;по факту
11;2023-01-08;61043,14;по факту
11;2023-01-09;54444,32;аванс
11;2023-01-10;132347,22;аванс
11;2023-02-08;51140,85;по факту
11;2023-02-09;85961,54;по факту
11;2023-02-09;108987,43;по факту
12;2023-01-06;71922,27;аванс
12;2023-01-07;25017,93;аванс
